Id,ProductClassificationId,Isin,IsSecondaryMarket,Code,ExchangeCode,AssetId,AssetName,AssetCurrency,Currency,Status,FollowCode,IsSiat,AssetNMP,AssetIsin,AssetNMPExchangeCode,AssetDecimalPlaces,AssetRic,MarketingAssetNMPExchangeCode,MarketingAssetNMP,MarketingAssetId,MarketingAssetISIN,MarketingAssetRic,MigratedToOneFlow,MaturityDate,AssetCurrencyRaw,TodayBarrierHitDate,IssueDate,Venue,IsPanther,EsgEligible,FkAssetType,PutOrCall,Ratio,Strike,BarrierTurboCertificate,CurrentLeverage,IsQuanto,Bid,Offer,BrokerLinks,RatioSuffix,StrikeSuffix,BarrierTurboCertificateSuffix,CurrentLeverageDecimalPlaces,_asset_name,_typ,FactorLeverage,StrategyExtended,ManagementFee,AdaptionEvent,BarrierAbsoluteLevel,_spot
3812478,47,DE000SU3LBW6,False,SU3LBW,CBDE,693,S&P 500,Pkt,EUR,65,,False,S+P500_INDEX,US78378X1072,CBUL,3,.SPX,,,,,,False,,USD,,2023-11-02T00:00:00,,False,,2,Call,100.0,5306.492546,5306.492546,3.19491646897923,False,20.78,20.79,,:1, Pkt, Pkt,1.0,S&P 500,turbo,,,,,,7618.684155499999
5353237,47,DE000SX8LUC4,False,SX8LUC,CBDE,693,S&P 500,Pkt,EUR,65,,False,S+P500_INDEX,US78378X1072,CBUL,3,.SPX,,,,,,False,,USD,,2025-04-24T00:00:00,,False,,2,Call,100.0,5821.197928,5821.197928,4.05963556116146,False,16.34,16.35,,:1, Pkt, Pkt,1.0,S&P 500,turbo,,,,,,7618.684155499999
5363019,47,DE000SX3WVQ0,False,SX3WVQ,CBDE,693,S&P 500,Pkt,EUR,65,,False,S+P500_INDEX,US78378X1072,CBUL,3,.SPX,,,,,,False,,USD,,2025-04-25T00:00:00,,False,,2,Call,100.0,5980.28197,5980.28197,4.4306631936294,False,14.97,14.98,,:1, Pkt, Pkt,1.0,S&P 500,turbo,,,,,,7618.684155499999
6716304,47,DE000FE6A585,False,FE6A58,CBDE,693,S&P 500,Pkt,EUR,65,,False,S+P500_INDEX,US78378X1072,CBUL,3,.SPX,,,,,,False,,USD,,2026-05-29T00:00:00,,False,,2,Put,100.0,8965.553831,8965.553831,6.12717819170566,False,10.83,10.84,,:1, Pkt, Pkt,1.0,S&P 500,turbo,,,,,,7618.684155499999
6716018,47,DE000FE6A5Z5,False,FE6A5Z,CBDE,693,S&P 500,Pkt,EUR,65,,False,S+P500_INDEX,US78378X1072,CBUL,3,.SPX,,,,,,False,,USD,,2026-05-29T00:00:00,,False,,2,Put,100.0,8738.007584,8738.007584,7.47032175066973,False,8.86,8.87,,:1, Pkt, Pkt,1.0,S&P 500,turbo,,,,,,7618.684155499999
3489641,47,DE000SV74DN5,False,SV74DN,CBDE,693,S&P 500,Pkt,EUR,65,,False,S+P500_INDEX,US78378X1072,CBUL,3,.SPX,,,,,,False,,USD,,2023-06-30T00:00:00,,False,,2,Call,10.0,3714.451664,3714.451664,1.92553074478802,False,344.96,344.99,,:1, Pkt, Pkt,1.0,S&P 500,turbo,,,,,,7618.684155499999
3489398,47,DE000SV74D35,False,SV74D3,CBDE,693,S&P 500,Pkt,EUR,65,,False,S+P500_INDEX,US78378X1072,CBUL,3,.SPX,,,,,,False,,USD,,2023-06-30T00:00:00,,False,,2,Call,10.0,4216.27635,4216.27635,2.20129962267652,False,301.75,301.78,,:1, Pkt, Pkt,1.0,S&P 500,turbo,,,,,,7618.684155499999
5420488,47,DE000SX4HE77,False,SX4HE7,CBDE,693,S&P 500,Pkt,EUR,65,,False,S+P500_INDEX,US78378X1072,CBUL,3,.SPX,,,,,,False,,USD,,2025-05-12T00:00:00,,False,,2,Call,100.0,6324.641761,6324.641761,5.52562539353537,False,12.01,12.02,,:1, Pkt, Pkt,1.0,S&P 500,turbo,,,,,,7618.684155499999
6940400,47,DE000FG5VRZ2,False,FG5VRZ,CBDE,693,S&P 500,Pkt,EUR,65,,False,S+P500_INDEX,US78378X1072,CBUL,3,.SPX,,,,,,False,,USD,,2026-07-31T00:00:00,,False,,2,Call,100.0,7425.780514,7425.780514,25.7434323086516,False,2.57,2.58,,:1, Pkt, Pkt,1.0,S&P 500,turbo,,,,,,7618.684155499999
6555436,47,DE000FC7MNP1,False,FC7MNP,CBDE,693,S&P 500,Pkt,EUR,65,,False,S+P500_INDEX,US78378X1072,CBUL,3,.SPX,,,,,,False,,USD,,2026-04-09T00:00:00,,False,,2,Call,100.0,6885.460083,6885.460083,9.22444377213444,False,7.19,7.2,,:1, Pkt, Pkt,1.0,S&P 500,turbo,,,,,,7618.684155499999
