Id,ProductClassificationId,Isin,IsSecondaryMarket,Code,ExchangeCode,AssetId,AssetName,AssetCurrency,Currency,Status,FollowCode,IsSiat,AssetNMP,AssetIsin,AssetNMPExchangeCode,AssetDecimalPlaces,AssetRic,MarketingAssetNMPExchangeCode,MarketingAssetNMP,MarketingAssetId,MarketingAssetISIN,MarketingAssetRic,MigratedToOneFlow,MaturityDate,AssetCurrencyRaw,TodayBarrierHitDate,IssueDate,Venue,IsPanther,EsgEligible,FkAssetType,PutOrCall,Ratio,Strike,BarrierTurboCertificate,CurrentLeverage,IsQuanto,Bid,Offer,BrokerLinks,RatioSuffix,StrikeSuffix,BarrierTurboCertificateSuffix,CurrentLeverageDecimalPlaces,_asset_name,_typ,StrategyExtended,FactorLeverage,_spot
2683375,45,DE000SN7PA79,False,SN7PA7,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2022-08-02T00:00:00,,False,,2,Call,100.0,15363.992845,15750.0,2.43932739270592,,106.93,106.94,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
6489972,45,DE000FE2PKN4,False,FE2PKN,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2026-03-23T00:00:00,,False,,2,Call,100.0,18878.300339,19350.0,3.63617128831621,,71.79,71.8,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
6306327,45,DE000FD9VH96,False,FD9VH9,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2026-02-05T00:00:00,,False,,2,Put,100.0,27812.603798,27220.0,14.7301613867201,,17.5,17.51,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
5312629,45,DE000SX7V573,False,SX7V57,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2025-04-14T00:00:00,,False,,2,Call,100.0,21396.991703,21930.0,5.60892948405213,,46.6,46.61,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
5312351,45,DE000SX7V5B3,False,SX7V5B,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2025-04-14T00:00:00,,False,,2,Call,100.0,20671.041835,21190.0,4.85048620445854,,53.86,53.87,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
5312000,45,DE000SX7V5U3,False,SX7V5U,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2025-04-14T00:00:00,,False,,2,Call,100.0,21077.007793,21600.0,5.24625198458014,,49.8,49.81,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
5312340,45,DE000SX7V5P3,False,SX7V5P,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2025-04-14T00:00:00,,False,,2,Call,100.0,20991.025731,21510.0,5.15790431766447,,50.66,50.67,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
6726575,45,DE000FE6FD34,False,FE6FD3,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2026-06-02T00:00:00,,False,,2,Call,100.0,20087.470943,20590.0,4.3746447672836,,59.71,59.72,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
3853923,45,DE000SU3JFA7,False,SU3JFA,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2023-11-16T00:00:00,,False,,2,Call,100.0,19067.107915,19540.0,3.73474735085618,,69.9,69.91,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
6546027,45,DE000FE3JS93,False,FE3JS9,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2026-04-08T00:00:00,,False,,2,Call,100.0,20224.559705,20730.0,4.47769254366389,,58.33,58.34,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
