Basiswert,Yahoo,Produkte,Kurs EUR,Tagesvola %,engster KO %,in Sigma,Hebel,Spread %,Sleeve-Tagesvola %,WKN
DAX 40,^GDAXI,7367,26063.049571,0.5637018386563055,1.2800069273981,2.2707162539140353,65.1056494140625,0.26455026455025893,36.700174281619844,FG6MUP
EURO STOXX 50,^STOXX50E,198,6405.435779,0.5074145821249672,1.5156867284236142,2.9870775925992756,63.907568359375,0.9259259259259267,32.42763209369504,FG3MAD
CAC 40,^FCHI,83,8290.402151,0.5391722513867953,1.5804908448765067,2.931328236591098,58.2939539514649,1.3513513513513526,31.4304823942495,FG0NNM
RUSSELL 2000 Index,^RUT,74,2934.010331,0.7862319169966119,5.368507340814817,6.828147299491979,14.7973544712263,0.5747126436781614,11.63415237239064,FE4K4S
Dow Jones Industrial,^DJI,1169,52647.5655465,0.584007241365842,4.4869682367621735,7.68306952199482,16.9503245545351,0.036818851251846696,9.899112283349739,FC8NC9
Nasdaq-100 Index(R),^NDX,4097,28863.563942,0.8153083494559286,7.035080311219874,8.628735761033875,11.0524724699502,0.04288164665523827,9.011173086882188,FE4Y91
TecDAX,^TECDAX,101,4036.707945,0.8129678399054091,10.940522995898831,13.457510197662664,8.95043836805556,1.999999999999997,7.2764185462846225,FC7N8M
S&P 500,^GSPC,950,7531.469699,0.5231221997383037,8.096165228958723,15.476623307152511,9.65340231541217,0.1451378809869345,5.049909054197249,FC7MJG
FTSE MIB,FTSEMIB.MI,33,52259.650961,0.564185161379553,60.716720472701816,107.61842853902164,1.64492740780486,0.09448818897638153,0.9280436350300347,SB8BY7
