abstand,aufgeld,barriere,basis,brief,einsatz,ge100,ge25,ge50,geld,hebel,median,p90,p99,p_ko,spread,status,stueck,wkn
,,99.389107,Brent,,,,,,,,,,,,,ausgeknockt,,FG6GMG
,,99.485571,Brent,,,,,,,,,,,,,ausgeknockt,,FC8RZ6
,,99.49,Brent,,,,,,,,,,,,,ausgeknockt,,FE55MZ
,,99.5,Brent,,,,,,,,,,,,,ausgeknockt,,FE4X2H
,,99.57,Brent,,,,,,,,,,,,,ausgeknockt,,FC792Z
,,99.58544,Brent,,,,,,,,,,,,,ausgeknockt,,FC8QPY
,,94.559636,WTI,,,,,,,,,,,,,ausgeknockt,,FG6GMQ
,,99.68,Brent,,,,,,,,,,,,,ausgeknockt,,FE55M0
0.008253433801962194,4304.1041029999615,99.686017,Brent,1.06,18699.46,0.055446666666666665,0.22905666666666666,0.17377666666666666,1.04,93.27358490566037,-0.19999422459893046,0.8318499925940003,2.3107370605637243,0.7234766666666667,0.018867924528301903,handelbar,17641,FC8QQS
0.009102862344492682,-2368.8415399999712,99.77,Brent,4.23,18696.600000000002,0.0,0.07110333333333334,0.023776666666666668,4.21,23.37352245862884,-0.106302516177047,0.23222055420952334,0.6027596869359095,0.25201,0.004728132387706964,handelbar,4420,FC8BAC
0.009255284717305553,3689.5267899999976,99.78507,Brent,1.14,18699.42,0.055446666666666665,0.23686666666666667,0.16606,1.13,86.7280701754386,-0.19999379679144383,0.7755990252604564,2.1507016031136037,0.7156666666666667,0.008771929824561412,handelbar,16403,FC8QPX
,,94.755555,WTI,,,,,,,,,,,,,ausgeknockt,,FE5820
0.009926287043592512,5496.73436400011,99.851412,Brent,1.39,18699.67,0.04756666666666667,0.20541666666666666,0.13418666666666668,1.35,71.1294964028777,-0.19999647058823528,0.6090179758169044,1.7368150239092288,0.7156666666666667,0.028776978417266053,handelbar,13453,FC8XGQ
0.01021543440881957,-2361.103989999958,99.88,Brent,4.33,18696.94,0.0,0.07110333333333334,0.023776666666666668,4.31,22.833718244803695,-0.1038594857701642,0.22700511633587694,0.5889933459993465,0.23632,0.004618937644341908,handelbar,4318,FE55M1
0.010767590618336941,-2652.0002399999985,94.81,WTI,4.1,18696.0,0.0,0.07082,0.023653333333333332,4.08,22.878048780487806,-0.11879074799969533,0.1952579694004728,0.5366517858164602,0.21953333333333333,0.004878048780487702,handelbar,4560,FE55R4
0.010254526145443466,3410.1158000000664,99.883865,Brent,1.24,18699.2,0.055446666666666665,0.23686666666666667,0.16606,1.23,79.73387096774194,-0.19999144385026738,0.7117326014549518,1.9759249366390927,0.7078466666666666,0.008064516129032265,handelbar,15080,FC8RZ5
0.011080799573560732,2228.420987000051,94.839379,WTI,1.18,18699.46,0.054966666666666664,0.21298666666666666,0.12593666666666667,1.16,79.49152542372882,-0.19999422459893046,0.5993723130010526,1.7857906921116118,0.7240566666666667,0.0169491525423729,handelbar,15847,FC8R08
0.011125720643268881,-2390.210959999964,99.97,Brent,4.41,18698.4,0.0,0.06317,0.015926666666666665,4.39,22.41950113378685,-0.1016554408280024,0.223364308182233,0.5788136119740604,0.23632,0.004535147392290354,handelbar,4240,FC8CGT
0.011833688699360335,-2635.0846269999897,94.91,WTI,4.19,18699.97,0.0,0.07082,0.023653333333333332,4.17,22.386634844868734,-0.1163132428064708,0.19119660340122904,0.5253283145118761,0.21953333333333333,0.00477326968973758,handelbar,4463,FE55R5
0.011240315565894561,2956.019220000068,99.98133,Brent,1.32,18699.120000000003,0.04756666666666667,0.23686666666666667,0.15825,1.31,74.90151515151516,-0.19999058823529414,0.6702068483864666,1.8577763855362375,0.68442,0.007575757575757582,handelbar,14166,FC8QPW
0.012793176972281481,1570.13999999996,95.0,WTI,1.31,18698.940000000002,0.047233333333333336,0.22077333333333332,0.11822,1.28,71.6030534351145,-0.1999886631016043,0.542835838158676,1.6114883240187203,0.7007666666666666,0.022900763358778647,handelbar,14274,FE4QLF
0.01219332456761396,2711.3628520001016,100.075554,Brent,1.41,18699.42,0.04756666666666667,0.22129,0.15825,1.39,70.12056737588654,-0.19999379679144383,0.6271013559331157,1.738886418878214,0.68442,0.014184397163120581,handelbar,13262,FC8QQR
0.01223829270759577,-2428.1404499999962,100.08,Brent,4.5,18697.5,0.0,0.06317,0.015926666666666665,4.49,21.971111111111114,-0.09919115395417362,0.21946039722995223,0.5677839484693492,0.20476333333333332,0.002222222222222175,handelbar,4155,FE55M2
